SalePrice,YearMade,GearDia,fiModelDesc,state,ProductGroup,HoursOperated,Enclosure
29000,1978,12.33651,D7G,Florida,TTT,4139,OROPS
26000,1980,11.03865,930,Florida,WL,7267,EROPS
15500,1975,13.99321,555,Florida,TTT,8210,OROPS
12750,1975,13.13136,555,Florida,TTT,8210,OROPS
16000,1979,15.01048,555,Florida,TTT,8210,OROPS
12000,1976,14.99362,450,Florida,TTT,24488,OROPS
14000,1972,15.08647,40,Florida,TEX,8443,EROPS
84000,1985,5.22544,12G,Florida,MG,3357,EROPS
22000,1985,14.56822,450,Florida,TTT,6742,OROPS
36750,1985,15.30239,211LC,Florida,TEX,1026,EROPS
12250,1981,14.06665,W11,Florida,WL,6945,OROPS
22500,1983,11.78422,850,Florida,TTT,6851,OROPS
19000,1984,15.45146,LK500,Florida,WL,8912,OROPS
33000,1986,14.29787,KSS65Z,Florida,WL,5187,OROPS
57500,1984,15.18446,936,Florida,WL,7271,OROPS
39500,1981,13.06926,950,Florida,WL,7277,EROPS
19500,1985,11.56027,580,Florida,BL,6788,OROPS
55000,1983,13.55422,225,Florida,TEX,7008,EROPS
11000,1976,14.03308,580,Florida,BL,6788,OROPS
23500,1984,12.87856,LK500,Florida,WL,8912,OROPS
12500,1973,14.47287,644,Florida,WL,8247,OROPS
22500,1978,11.24345,644,Florida,WL,8247,EROPS
23000,1984,14.7646,LK600,Florida,WL,8914,OROPS
26000,1984,15.4651,850,Florida,TTT,6851,OROPS
17500,1984,10.74746,KSS65Z,Florida,WL,5187,EROPS
24000,1978,11.24842,35,Florida,TEX,8442,EROPS
27500,1984,12.5724,LK500,Florida,WL,8912,OROPS
21000,1984,15.23842,LK500,Florida,WL,8912,OROPS
28500,1983,15.53231,LK600,Florida,WL,8914,EROPS
25000,1973,13.72464,966C,Florida,WL,3854,EROPS
24000,1985,14.93081,D31,Florida,TTT,8988,OROPS
18500,1980,11.20368,645,Florida,WL,8530,OROPS
33000,1973,11.73722,966C,Florida,WL,3854,EROPS
12750,1982,14.67064,310,Florida,BL,8050,OROPS
72000,1981,12.77871,966D,Florida,WL,3855,OROPS
24000,1985,15.27414,D31,Florida,TTT,8988,OROPS
11000,1972,13.81397,645,Florida,WL,8530,EROPS
10000,1980,13.84772,D53,Florida,TTT,8998,EROPS
12500,1981,10.93251,680,Florida,BL,22318,EROPS
21500,1985,12.03001,580,Florida,BL,6788,OROPS
10000,1976,14.88692,450,Florida,TTT,6742,EROPS
14750,1981,14.60008,680,Florida,BL,22318,EROPS
35000,1978,14.1147,215,Florida,TEX,7001,EROPS
24000,1986,13.30405,D31,Florida,TTT,8988,OROPS
11500,1976,13.63986,450,Florida,TTT,6742,EROPS
21500,1984,12.63515,450,Florida,TTT,24488,OROPS
23500,1986,13.43986,415,Florida,BL,30689,EROPS
35500,1987,12.08675,D31,Florida,TTT,8988,EROPS
11000,1977,13.04122,450,Florida,TTT,6742,OROPS
15500,1980,14.11808,345,Florida,WL,8526,OROPS
17250,1983,15.27768,450,Florida,TTT,24488,OROPS
16000,1973,11.7374,920,Florida,WL,7261,EROPS
67000,1983,12.73977,140G,Florida,MG,3362,EROPS
22000,1970,12.3941,14E,Florida,MG,3369,EROPS
30000,1980,13.99331,666,Florida,TEX,8959,EROPS
66000,1985,15.16287,D7GLGP,Florida,TTT,1648,OROPS
27500,1979,13.4428,215,Florida,TEX,7001,EROPS
14000,1966,11.12782,120,Florida,MG,6974,OROPS
25000,1977,14.25206,950,Florida,WL,7277,OROPS
44500,1988,12.22214,450,Florida,TTT,24488,OROPS
31000,1980,13.73802,666,Florida,TEX,8959,EROPS
42000,1979,12.62814,12G,Florida,MG,3357,OROPS
12000,1979,13.67671,555,Florida,BL,8585,OROPS
72500,1986,15.46093,D7GLGP,Florida,TTT,1648,OROPS
26500,1984,15.01198,LK500,Florida,WL,8912,EROPS
12000,1979,14.87052,450,Florida,TTT,24488,OROPS
24000,1987,13.50795,580,Florida,BL,6788,OROPS
26000,1975,12.2962,D7G,Florida,TTT,4139,OROPS
30000,1986,11.63401,LK500,Florida,WL,8912,OROPS
11500,1980,10.88162,450,Florida,TTT,6742,OROPS
21500,1969,11.59774,950,Florida,WL,7277,OROPS
14500,1978,14.23957,40,Florida,TEX,8443,EROPS
18000,1980,12.06117,50,Florida,TEX,8446,EROPS
22500,1984,11.20489,850,Florida,TTT,6851,OROPS
17000,1973,11.13323,120,Florida,MG,6974,EROPS
35000,1975,11.27319,966C,Florida,WL,3854,EROPS
16000,1978,13.97145,D155,Florida,TTT,8987,OROPS
34000,1984,11.91836,D5B,Florida,TTT,4112,OROPS
17500,1983,10.95966,450,Florida,TTT,6742,OROPS
56000,1987,14.49814,D4H,Florida,TTT,4107,OROPS
24000,1978,14.63708,644,Florida,WL,8247,OROPS
28000,1973,12.12084,966C,Florida,WL,3854,EROPS
13000,1980,13.2137,KSS65Z,Florida,WL,5187,OROPS
102500,1988,11.87103,E240,Florida,TEX,7507,EROPS
25000,1975,11.22454,770,Florida,MG,8308,EROPS
13000,1979,12.77229,450,Florida,TTT,6742,OROPS
17500,1983,13.26365,450,Florida,TTT,6742,OROPS
16750,1983,11.45653,450,Florida,TTT,6742,OROPS
17000,1982,13.6383,450,Florida,TTT,24488,OROPS
40000,1975,15.35511,966C,Florida,WL,3854,EROPS
25000,1975,14.96537,966C,Florida,WL,3854,EROPS
34000,1978,11.87278,966C,Florida,WL,3854,EROPS
10500,1979,11.46003,450,Florida,TTT,6742,OROPS
15500,1982,11.42651,450,Florida,TTT,6742,OROPS
65000,1981,14.35188,K935,Florida,TEX,8904,EROPS
22500,1982,12.66376,450,Florida,TTT,6742,OROPS
26000,1969,12.13767,950,Florida,WL,7277,OROPS
14500,1982,13.34184,410,Florida,BL,8089,OROPS
12000,1967,13.00919,12F,Florida,MG,3356,OROPS
8000,1978,14.61222,310,Florida,BL,8050,OROPS
18000,1972,11.96734,570,Florida,SSL,8215,OROPS
20000,1978,13.75322,690,Florida,TEX,8269,EROPS
10000,1973,15.34592,450,Florida,TTT,6742,OROPS
9500,1981,11.58366,1550,Florida,BL,8846,OROPS
14000,1981,13.91084,410,Florida,BL,8089,OROPS
31000,1988,15.02667,580,Florida,BL,6788,OROPS
47500,1984,11.74343,215B,Florida,TEX,23944,EROPS
17500,1981,13.17069,580,Florida,BL,6788,OROPS
14500,1984,11.85313,350,Florida,TTT,24493,OROPS
23000,1986,12.86607,580,Florida,BL,6788,OROPS
69000,1981,13.63573,14G,Florida,MG,3371,EROPS
14000,1979,12.5185,W14,Florida,WL,6949,OROPS
24000,1983,15.07835,LK600,Florida,WL,8914,OROPS
25000,1984,14.71616,LK600,Florida,WL,8914,OROPS
11250,1977,13.33273,580,Florida,BL,6788,OROPS
69000,1981,11.64302,14G,Florida,MG,3371,EROPS
32000,1981,14.18464,930,Florida,WL,7267,OROPS
59000,1984,12.31931,D65,Florida,TTT,11933,OROPS
13500,1981,13.35928,580,Florida,BL,6788,OROPS
12000,1977,11.98802,D31,Florida,TTT,8988,EROPS
15500,1978,11.88154,450,Florida,TTT,24488,OROPS
12500,1979,13.348,W14,Florida,WL,6949,OROPS
17000,1980,12.51836,510,Florida,WL,10727,OROPS
8750,1979,14.83929,310,Florida,BL,8050,OROPS
41500,1974,0.54207,120G,Florida,MG,3350,OROPS
105000,1987,8.46914,WA400,Florida,WL,9118,EROPS
42500,1986,13.98806,FG85,Florida,MG,8560,OROPS
9500,1980,10.92601,1550,Florida,BL,8846,OROPS
30000,1986,14.45998,515,Florida,WL,10728,OROPS
23500,1986,12.30461,580,Florida,BL,6788,EROPS
61000,1984,14.28801,225,Florida,TEX,7008,EROPS
27000,1979,11.04533,930,Florida,WL,7267,OROPS
21000,1986,11.81846,D3BLGP,Florida,TTT,1526,OROPS
26000,1979,15.50628,930,Florida,WL,7267,OROPS
19000,1986,11.22795,580,Florida,BL,6788,OROPS
36000,1982,13.01055,K909,Florida,TEX,8899,EROPS
8500,1972,11.37761,H65,Florida,WL,10762,OROPS
25000,1984,15.08362,1150,Florida,TTT,6558,OROPS
26000,1978,13.50192,350,Florida,TEX,6531,EROPS
20500,1985,10.89576,D31,Florida,TTT,8988,OROPS
16000,1984,5.73983,D31,Florida,TTT,8988,OROPS
26000,1984,15.07187,544,Florida,WL,8202,OROPS
26000,1979,14.03709,D65,Florida,TTT,11933,EROPS
7500,1980,11.02724,1550,Florida,BL,8846,EROPS
53000,1984,12.82635,LK700,Florida,WL,8916,EROPS
8400,1969,10.86328,W24,Florida,WL,6954,OROPS
15000,1973,11.37767,D6C,Florida,TTT,4123,OROPS
69000,1984,15.30579,D6DLGP,Florida,TTT,1605,OROPS
25000,1984,11.33319,300,Florida,TEX,6529,EROPS
16000,1974,15.51162,D5,Florida,TTT,7464,OROPS
14000,1979,11.36236,410,Florida,BL,8089,OROPS
13000,1984,15.29125,1550,Florida,BL,8846,OROPS
13000,1984,14.2305,1550,Florida,BL,8846,OROPS
26000,1978,15.19311,644,Florida,WL,8247,EROPS
37000,1979,11.5628,225,Florida,TEX,7008,EROPS
15000,1980,12.31913,680,Florida,BL,22318,EROPS
18000,1981,13.65961,510,Florida,WL,8180,OROPS
22000,1976,11.95916,115,Florida,TEX,10300,EROPS
19500,1985,12.50774,D3B,Florida,TTT,4089,EROPS
17500,1984,13.60608,D3B,Florida,TTT,4089,OROPS
17000,1981,12.95528,D3BLGP,Florida,TTT,1526,OROPS
17500,1984,11.59439,D3B,Florida,TTT,4089,EROPS
11750,1974,14.13395,910,Florida,WL,7257,OROPS
19000,1975,15.15071,D155,Florida,TTT,8987,EROPS
18500,1983,11.31424,450,Florida,TTT,24488,OROPS
23500,1984,14.31525,D65,Florida,TTT,11933,OROPS
46000,1978,12.13002,980B,Florida,WL,3876,OROPS
21000,1985,12.21444,D31,Florida,TTT,8988,OROPS
25000,1982,12.54688,LK600,Florida,WL,8914,OROPS
12500,1979,12.80196,D45A,Florida,TTT,11916,EROPS
13750,1979,15.09873,580,Florida,BL,6788,OROPS
11000,1979,14.69868,450,Florida,TTT,24488,OROPS
23000,1985,14.16434,D31,Florida,TTT,8988,OROPS
90000,1980,14.12035,980C,Florida,WL,3877,EROPS
26500,1985,12.11056,580,Florida,BL,6788,OROPS
36000,1985,15.54081,644,Florida,WL,8247,EROPS
15000,1979,13.72656,D31,Florida,TTT,8988,EROPS
10750,1977,14.31926,D31,Florida,TTT,8988,OROPS
16000,1979,12.07891,W18,Florida,WL,6951,OROPS
11500,1971,14.31803,14E,Florida,MG,3369,OROPS
15250,1978,11.36324,450,Florida,TTT,24488,OROPS
30500,1978,11.38979,D155,Florida,TTT,8987,OROPS
64000,1980,12.48106,D9H,Florida,TTT,4155,EROPS
68000,1980,11.84834,D9H,Florida,TTT,4155,EROPS
67500,1979,14.97685,14G,Florida,MG,3371,EROPS
16500,1982,13.60565,580,Florida,BL,6788,OROPS
16000,1979,14.43543,450,Florida,TTT,24488,OROPS
13000,1979,14.69603,D31,Florida,TTT,8988,EROPS
9750,1979,11.10881,500,Florida,BL,8174,OROPS
23000,1980,12.74908,645,Florida,WL,8530,EROPS
21500,1986,11.22069,580,Florida,BL,6788,OROPS
82500,1983,12.93929,LK1500,Florida,WL,8907,EROPS
12500,1973,12.17219,644,Florida,WL,8247,OROPS
10000,1972,12.15848,690,Florida,TEX,8269,EROPS
19000,1981,10.94053,850,Florida,TTT,6851,OROPS
20500,1985,13.90542,D31,Florida,TTT,8988,OROPS
13500,1979,15.1675,D3,Florida,TTT,7428,OROPS
18500,1983,14.73305,410,Florida,BL,8089,OROPS
55000,1978,11.37229,14G,Florida,MG,3371,EROPS
22000,1984,13.84555,520,Florida,WL,10729,OROPS
13500,1980,12.85735,KSS80Z,Florida,WL,5188,OROPS
10000,1972,13.90207,T500A,Florida,MG,5060,EROPS
19500,1986,15.38807,480,Florida,BL,6752,OROPS
43000,1987,10.76332,FG95,Florida,MG,8561,OROPS
27000,1983,10.8063,GD605,Florida,MG,9015,EROPS
32500,1980,12.2427,H3500,Florida,TEX,8837,EROPS
42500,1987,12.76161,FG95,Florida,MG,8561,OROPS
40000,1985,14.63663,1280,Florida,TEX,6573,EROPS
14500,1978,14.18883,C166,Florida,TEX,8960,EROPS
18000,1973,12.48518,16,Florida,MG,6979,EROPS
15500,1980,13.71671,410,Florida,BL,8089,OROPS
16000,1974,13.83516,644,Florida,WL,8247,EROPS
9750,1972,12.72411,T500A,Florida,MG,5060,EROPS
38000,1978,2.6722,D6DLGP,Florida,TTT,1605,OROPS
35000,1980,13.89137,D6D,Florida,TTT,4124,OROPS
8750,1977,11.38656,310,Florida,BL,8050,OROPS
8000,1972,12.80862,16,Florida,MG,6979,EROPS
24000,1977,13.76578,544,Florida,WL,8202,OROPS
48500,1979,10.8596,235,Florida,TEX,7013,EROPS
9000,1974,11.75834,310,Florida,BL,8050,OROPS
9750,1975,11.21941,510,Florida,WL,8180,OROPS
23000,1973,13.65948,D8H,Florida,TTT,4146,OROPS
20000,1980,12.0082,644,Florida,WL,8247,OROPS
45000,1976,11.77663,235,Florida,TEX,7013,EROPS
22500,1984,14.16021,410,Florida,BL,8089,OROPS
19000,1984,11.97912,580,Florida,BL,6788,OROPS
22000,1983,12.38451,580,Florida,BL,6788,OROPS
8750,1978,12.14458,310,Florida,BL,8050,OROPS
10250,1977,12.60333,410,Florida,BL,8089,OROPS
23000,1981,14.60437,D85,Florida,TTT,9008,EROPS
12000,1981,14.59952,500,Florida,BL,8174,EROPS
30000,1978,10.82257,D65,Florida,TTT,11933,OROPS
26000,1987,12.6238,480,Florida,BL,6752,OROPS
50000,1979,15.02341,235,Florida,TEX,7013,EROPS
11750,1977,11.33283,580,Florida,BL,6788,OROPS
21000,1984,13.91363,D3B,Florida,TTT,4089,EROPS
10000,1976,15.24359,310,Florida,BL,8050,OROPS
13000,1974,14.01301,T500M,Florida,MG,5063,EROPS
28000,1984,15.2518,544,Florida,WL,8202,EROPS
27000,1978,14.00871,690,Florida,TEX,8269,EROPS
15000,1967,11.1557,950,Florida,WL,7277,OROPS
13000,1967,14.55786,950,Florida,WL,7277,OROPS
36500,1980,14.0154,644,Florida,WL,8247,EROPS
8250,1972,11.64622,350,Florida,TTT,24493,OROPS
24000,1986,15.02564,416,Florida,BL,7110,OROPS
9500,1972,11.09279,350,Florida,TTT,24493,OROPS
23000,1983,14.34033,544,Florida,WL,8202,OROPS
67000,1985,1.88485,PC220,Florida,TEX,9049,OROPS
21500,1978,14.82754,TD20,Florida,TTT,8434,OROPS
11000,1979,13.38141,755,Florida,BL,8588,OROPS
12250,1977,14.78498,510,Florida,WL,8180,OROPS
